Country ID,Country,"Time Series - Total CH4 Emissions, in 1000 tonnes of CO₂ equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CH4 emissions, latest year",% change since 1990,"CH4 emissions 
per capita, 
latest year"
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,"1000 tonnes of 
CO2 equivalent",%,kg
388,Jamaica,...,...,...,...,"1,217.91",...,...,...,...,...,...,...,...,...,...,...,818.58,834.96,840.84,857.22,847.35,...,852.18,...,...,...,...,...,...,2012,852.18,...,0.300
392,Japan,"1,776.74","1,730.39","1,764.75","1,601.02","1,736.46","1,677.06","1,628.87","1,598.82","1,524.31","1,519.59","1,519.28","1,485.28","1,457.45","1,399.66","1,441.00","1,433.82","1,410.55","1,421.58","1,409.59","1,371.06","1,391.34","1,351.05","1,316.16","1,301.34","1,275.48","1,242.59","1,229.45","1,209.49","1,194.20",2018,1194.20,-32.79,0.009
400,Jordan,...,...,...,...,"8,475.36",...,...,...,...,...,"2,745.13",...,...,...,...,...,"3,066.00",...,...,...,...,...,...,...,...,...,...,...,...,2006,3066.00,...,0.512
398,Kazakhstan,"4,116.29","4,012.73","3,828.66","3,466.41","2,974.76","2,589.79","2,447.73","2,462.57","2,540.60","2,467.62","2,843.92","1,469.30","1,475.63","1,643.64","1,712.70","1,696.37","1,812.33","1,878.69","1,995.64","1,944.76","2,104.58","2,141.78","2,149.31","2,202.78","2,175.69","2,114.33","2,150.43","2,208.47","2,313.31",2018,2313.31,-43.80,0.126
404,Kenya,...,...,...,...,"15,537.09","16,724.19",...,...,...,...,"15,669.57",...,...,...,...,"18,042.57",...,...,...,...,"22,185.66",...,...,...,...,...,...,...,...,2010,22185.66,...,0.528
296,Kiribati,...,...,...,...,9.42,...,...,...,...,...,...,...,...,...,...,...,2.49,2.62,2.14,...,...,...,...,...,...,...,...,...,...,2008,2.14,...,0.022
414,Kuwait,...,...,...,...,"2,712.99",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"2,002.08",...,...,2016,2002.08,...,0.506
417,Kyrgyzstan,"5,357.07","5,335.68","4,874.77","4,242.95","3,328.83","3,112.98","2,885.58","2,878.90","2,764.30","2,798.33","2,954.88","3,101.27","3,444.84","3,719.42","4,218.04","4,478.70","4,396.26","4,423.89","4,819.69","5,021.84","4,711.27",...,...,...,...,...,...,...,...,2010,4711.27,-12.06,0.869
418,Lao People's Democratic Republic,"6,414.45",...,...,...,...,...,...,...,...,...,"5,344.29",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,5344.29,-16.68,1.004
428,Latvia,143.80,141.98,122.36,93.59,86.78,86.40,84.99,83.72,80.26,74.94,74.90,78.33,77.32,73.92,72.71,74.68,72.80,74.76,73.32,74.14,71.65,69.71,71.37,72.25,74.15,70.20,71.23,72.53,69.34,2018,69.34,-51.78,0.036
422,Lebanon,...,...,...,...,"1,129.11",...,...,...,...,...,"1,825.11",...,...,...,...,...,...,...,...,...,...,"2,873.64","2,962.05","2,030.14",...,...,...,...,...,2013,2030.14,...,0.343
426,Lesotho,...,...,...,...,970.41,...,...,...,...,...,"1,257.06",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,1257.06,...,0.618
430,Liberia,...,...,...,...,...,...,...,...,...,...,"4,140.78",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,4140.78,...,1.454
438,Liechtenstein,0.77,0.77,0.75,0.72,0.72,0.72,0.73,0.72,0.72,0.69,0.67,0.71,0.72,0.72,0.73,0.75,0.78,0.79,0.79,0.79,0.76,0.78,0.80,0.76,0.74,0.74,0.74,0.72,0.73,2018,0.73,-5.58,0.019
440,Lithuania,280.24,271.82,237.09,207.10,186.72,177.41,174.26,174.69,170.03,160.02,154.44,151.47,153.58,155.86,156.64,156.38,156.36,154.89,152.27,148.38,147.37,140.96,141.32,138.62,138.87,136.98,133.30,131.08,122.57,2018,122.57,-56.26,0.044
442,Luxembourg,23.27,23.77,23.13,23.32,22.82,23.46,23.81,23.60,23.50,23.70,23.42,23.63,23.61,23.18,23.05,23.01,22.86,23.21,23.62,23.67,23.67,22.69,22.37,22.54,23.06,23.30,23.45,23.75,23.51,2018,23.51,1.03,0.039
450,Madagascar,...,...,...,...,"7,755.09",...,...,...,...,...,"6,919.50",...,...,...,...,"10,489.50","11,488.06","11,493.12","10,846.65","11,003.31","11,192.38",...,...,...,...,...,...,...,...,2010,11192.38,...,0.529
454,Malawi,"7,043.61",...,...,...,"3,945.48",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,3945.48,-43.98,0.405
458,Malaysia,"9,964.91","26,472.72","27,866.28","31,781.65","33,588.63","35,304.62","39,159.75","42,083.91","43,813.90","46,828.59","49,116.56","50,703.88","50,966.26","51,879.88","54,653.11","58,182.60","60,520.05","61,759.12","64,087.67","63,688.28","67,342.39","67,532.02",...,...,...,...,...,...,...,2011,67532.02,577.70,2.357
462,Maldives,...,...,...,...,23.98,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,31.79,32.38,33.41,38.85,42.27,...,...,...,2015,42.27,...,0.093
466,Mali,...,...,...,...,...,"7,157.18",...,...,...,...,"8,849.21",...,...,...,...,...,...,...,...,...,"13,544.33",...,...,...,...,...,...,...,...,2010,13544.33,...,0.900
470,Malta,4.21,4.48,4.76,5.05,5.29,5.48,5.76,6.03,6.29,6.57,6.99,7.18,7.45,7.73,8.11,8.56,8.87,9.11,5.89,6.48,7.22,6.73,6.66,6.25,6.90,7.28,7.63,7.63,7.99,2018,7.99,89.81,0.018
584,Marshall Islands,...,...,...,...,...,...,...,...,...,...,39.59,...,...,...,...,35.41,...,...,...,...,42.08,...,...,...,...,...,...,...,...,2010,42.08,...,0.747
478,Mauritania,...,...,...,...,...,"3,263.02",...,...,...,...,"4,146.73",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,4146.73,...,1.577
480,Mauritius,...,...,...,...,...,193.20,...,...,...,...,"1,233.57","1,350.03","1,280.80","1,318.59","1,323.84","1,322.46","1,521.03",...,...,...,...,...,...,"1,545.81",...,...,...,...,...,2013,1545.81,...,1.231
