Country ID,Country,"Time Series - SO2 total emissions, in 1000 t",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SO2 emissions, latest year",% change since 1990,"SO2 emissions per capita, latest year"
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,1000 t,%,1000 t
591,Panama,...,...,...,...,1.85,...,...,...,...,...,0.13,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000, 0.13 ,..., 0.04 
598,Papua New Guinea,...,...,...,...,...,...,...,...,...,...,36.00,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000, 36.00 ,..., 6.16 
600,Paraguay,0.30,...,...,...,0.22,...,...,...,...,...,0.16,...,...,...,...,0.26,...,...,...,...,...,0.26,0.27,...,...,...,...,...,...,2012, 0.27 ,-7.71, 0.04 
604,Peru,...,...,...,...,123.26,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994, 123.26 ,..., 5.17 
608,Philippines,...,...,...,...,458.53,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994, 458.53 ,..., 6.73 
616,Poland,"2,652.31","2,564.39","2,318.19","2,304.07","2,206.79","2,141.02","2,154.76","1,974.72","1,770.44","1,599.28","1,410.65","1,385.83","1,298.32","1,281.14","1,210.01","1,171.17","1,236.17","1,173.80",947.03,811.09,874.44,836.36,802.93,767.99,723.58,711.43,590.66,582.65,…,2017, 582.65 ,-78.03, 15.35 
620,Portugal,317.64,308.02,366.45,309.46,288.00,321.82,262.72,274.89,322.08,330.98,294.82,277.64,276.81,184.91,188.37,189.72,164.95,157.54,104.24,71.91,62.95,56.96,52.23,47.97,43.41,45.63,45.56,47.14,45.17,2018, 45.17 ,-85.78, 4.40 
634,Qatar,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,143.92,...,...,...,...,...,...,...,...,...,...,...,2007, 143.92 ,..., 118.12 
498,Republic of Moldova,294.78,256.04,170.02,145.54,102.54,60.94,58.88,33.86,26.90,13.90,9.80,9.32,10.43,12.22,11.13,10.76,10.95,9.03,13.29,17.64,19.97,19.67,18.67,21.86,...,...,...,...,...,2013, 21.86 ,-92.58, 5.37 
642,Romania,798.15,722.97,759.69,694.65,688.68,697.04,707.20,613.05,491.21,438.12,493.87,536.15,510.00,540.04,511.31,602.58,641.42,522.91,529.29,453.43,362.12,340.28,278.03,217.85,191.27,154.43,100.73,85.18,80.03,2018, 80.03 ,-89.97, 4.10 
