"Country_ID","Country","CH4_latest_year","CH4","CH4_change_1990","CH4_per_capita","CO2_latest_year","CO2","CO2_change_1990","CO2_per_capita","GHG_latest_year","GHG","GHG_change_1990","GHG_per_capita","N2O_latest_year","N2O","N2O_change_1990","N2O_per_capita","NOx_latest_year","NOx","NOx_change_1990","NOx_per_capita","SO2_latest_year","SO2","SO2_change_1990","SO2_per_capita"
428,"Latvia","2018","69.34","-51.78","0.036","2018","7859.29","-59.70","4.08","2018","11745.26","-55.32","6.09","2018","6.29","-41.25","0.003","2018","33.85","-64.61","17.55","2018"," 3.83 ","-96.19"," 1.99 "
422,"Lebanon","2013","2030.14","...","0.343","2013","23096.54","...","3.91","2013","26134.76","...","4.42","2013","1,008.08","...","0.170","2013","88.67","...","15.00","2013"," 119.01 ","..."," 20.13 "
426,"Lesotho","2000","1257.06","...","0.618","2000","805.03","...","0.40","2000","3512.89","...","1.73","2000","1,450.80","...","0.714","1994","5.05","...","2.71",NA,NA,NA,NA
430,"Liberia","2000","4140.78","...","1.454","2000","3571.00","...","1.25","2000","8021.78","...","2.82","2000","310.00","...","0.109","2000","1.00","...","0.35",NA,NA,NA,NA
438,"Liechtenstein","2018","0.73","-5.58","0.019","2018","143.75","-27.75","3.79","2018","181.08","-20.72","4.78","2018","0.03","-10.23","0.001",NA,NA,NA,NA,NA,NA,NA,NA
440,"Lithuania","2018","122.57","-56.26","0.044","2018","13669.49","-61.79","4.88","2018","20266.83","-57.79","7.23","2018","9.92","-43.59","0.004","2018","56.23","-63.93","20.07","2018"," 12.66 ","-93.16"," 4.52 "
442,"Luxembourg","2018","23.51","1.03","0.039","2018","9568.52","-19.24","15.84","2018","10547.15","-17.22","17.46","2018","1.05","0.85","0.002","2018","19.74","-51.90","32.66","2018"," 0.92 ","-94.17"," 1.52 "
450,"Madagascar","2010","11192.38","...","0.529","2010","2057.90","...","0.10","2010","27756.08","...","1.31","2010","14,505.80","...","0.686","2010","34.90","...","1.65","2010"," 65.20 ","..."," 3.08 "
454,"Malawi","1994","3945.48","-43.98","0.405","1994","719.26","7.47","0.07","1994","7070.34","-12.11","0.73","1994","2,405.60","625.23","0.247","1994","26.27","-8.47","2.70",NA,NA,NA,NA
458,"Malaysia","2011","67532.02","577.70","2.357","2011","205768.03","294.64","7.18","2011","287740.31","327.12","10.04","2011","13,574.35","157.95","0.474","2011","1.04","...","0.04",NA,NA,NA,NA
462,"Maldives","2015","42.27","...","0.093","2015","1476.89","...","3.25","2015","1535.90","...","3.38","2015","16.74","...","0.037",NA,NA,NA,NA,NA,NA,NA,NA
466,"Mali","2010","13544.33","...","0.900","2010","2743.67","...","0.18","2010","52732.84","...","3.50","2010","36,439.26","...","2.421","2010","8.79","...","0.58","2010"," 3.65 ","..."," 0.24 "
470,"Malta","2018","7.99","89.81","0.018","2018","1531.58","-36.41","3.49","2018","2186.11","-14.95","4.98","2018","0.14","-24.46","0.000","2018","4.52","-39.22","10.28","2018"," 0.33 ","-96.76"," 0.76 "
584,"Marshall Islands","2010","42.08","...","0.747","2010","124.94","...","2.22","2010","169.82","...","3.01","2010","2.81","...","0.050","2010","0.59","...","10.39","2010"," 0.28 ","..."," 5.02 "
478,"Mauritania","2000","4146.73","...","1.577","2000","1137.07","...","0.43","2000","6943.85","...","2.64","2000","1,660.05","...","0.631","2000","10.31","...","3.92","2000"," 0.09 ","..."," 0.03 "
480,"Mauritius","2013","1545.81","...","1.231","2013","4250.19","...","3.39","2013","6591.27","...","5.25","2013","77.50","...","0.062","2005","13.69","...","11.20","2005"," 9.60 ","..."," 7.86 "
484,"Mexico","2013","94148.43","46.62","0.792","2013","468240.10","52.31","3.94","2013","605887.32","49.91","5.10","2013","34,822.27","11.07","0.293",NA,NA,NA,NA,NA,NA,NA,NA
583,"Micronesia (Federated States of)","2000","5.85","...","0.054","2000","151.99","...","1.42","2000","173.93","...","1.62","2000","16.09","...","0.150","2000","1.26","...","11.69","2000"," 0.31 ","..."," 2.86 "
492,"Monaco","2018","0.05","-39.32","0.001","2018","74.76","-23.90","1.93","2018","86.93","-15.39","2.25","2018","0.01","38.87","0.000","2018","0.14","-74.59","3.73","2018"," 0.01 ","-91.55"," 0.29 "
496,"Mongolia","2006","6528.90","15.83","2.551","2006","9956.25","-27.06","3.89","2006","17710.95","-8.32","6.92","2006","458.80","1,380.00","0.179","1998","2.98","29.57","1.27",NA,NA,NA,NA
499,"Montenegro","2011","365.48","-39.69","0.585","2011","2685.70","7.80","4.30","2011","3863.59","-32.29","6.18","2011","223.82","-41.54","0.358","2011","10.15","32.48","16.23","2011"," 39.73 ","184.73"," 63.54 "
504,"Morocco","2012","16452.45","...","0.495","2012","62103.40","...","1.87","2012","96108.05","...","2.89","2012","17,552.20","...","0.528","2012","326.56","...","9.82","2012"," 635.53 ","..."," 19.12 "
508,"Mozambique","1994","5657.15","13.51","0.378","1994","1585.59","46.39","0.11","1994","8223.89","21.24","0.55","1994","981.15","37.01","0.066","1994","93.10","22.60","6.23",NA,NA,NA,NA
104,"Myanmar","2005","26584.60","...","0.543","2005","8264.59","...","0.17","2005","38374.90","...","0.78","2005","3,311.02","...","0.068","2005","0.03","...","0.00",NA,NA,NA,NA
516,"Namibia","2000","6757.80","...","3.766","2000","2018.00","...","1.12","2000","9085.80","...","5.06","2000","310.00","...","0.173","2000","41.20","...","22.96","2000"," 10.90 ","..."," 6.07 "
520,"Nauru","2010","4.16","...","0.415","2010","37.58","...","3.76","2010","42.19","...","4.21","2010","0.44","...","0.044","2010","0.15","...","14.98","2010"," 0.18 ","..."," 18.39 "
524,"Nepal","2000","13666.59","...","0.571","2000","2894.24","...","0.12","2000","26031.33","...","1.09","2000","9,470.50","...","0.396","2000","67.00","...","2.80","2000"," 76.00 ","..."," 3.17 "
528,"Netherlands","2018","692.35","-45.65","0.041","2018","160170.15","-1.36","9.39","2018","187756.39","-14.94","11.01","2018","28.02","-53.70","0.002","2018","211.61","-63.96","12.40","2018"," 24.51 ","-86.91"," 1.44 "
554,"New Zealand","2018","1371.45","6.19","0.289","2018","35080.34","37.86","7.40","2018","78862.29","24.02","16.63","2018","25.48","54.10","0.005","2018","168.34","65.52","35.49","2018"," 71.35 ","25.05"," 15.04 "
558,"Nicaragua","2000","4269.32","...","0.842","2000","3840.19","...","0.76","2000","11980.64","...","2.36","2000","3,871.13","...","0.764","2000","69.62","...","13.73","2000"," 0.19 ","..."," 0.04 "
562,"Niger","2008","11550.00","236.11","0.757","2008","1800.00","200.77","0.12","2008","15520.00","219.84","1.02","2008","2,170.00","165.42","0.142","2008","24.00","...","1.57","2008"," 1,929.00 ","..."," 126.48 "
566,"Nigeria","2000","88179.00","...","0.721","2000","116825.00","...","0.96","2000","212444.00","...","1.74","2000","7,440.00","...","0.061","2000","1005.00","...","8.22","2000"," 190.00 ","..."," 1.55 "
