CountryID,Country,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017,,,,,,,,,,,,,,,,,,
688,Serbia,...,...,...,...,...,...,18.35599,15.61629,17.26011,13.15056,12.32865,17.53408,15.89026,14.24644,14.52041,11.50674,10.13689,13.6985,13.97247,13.97247,13.42453,14.79438,15.06835,13.6985,,,,,,,,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,Singapore,876,1177,1201,1209,1301,1308,1342,1280,1307,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,Slovakia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,989.041086,1049.315058,1046.575332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
724,Spain,...,...,...,...,...,...,10547.9451,11726.02728,11917.8081,13013.6985,13589.04096,12320.54782,11808.21906,10791.78071,10424.65743,10717.80811,11460.27386,11786.30125,11813.69851,12021.91769,11923.28755,11846.57522,11591.78071,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
756,Switzerland,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3862.977,...,...,3838.3197,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780,Trinidad and Tobago,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,234.3399963,234.3399963,234.3399963,...,,,,,,,,,,,,,,,,,,,,,21,21,21,,,,,,,,,,,,,,,,,,,
788,Tunisia,...,...,...,...,...,...,...,...,...,...,...,...,595.4000244,622.7000122,642.5,654.2000122,657.4000244,650.2000122,641,630.2999878,658.7000122,672.4000244,...,...,,,,,,,,,,,,,22,22,22,22,22,22,22,22,22,22,,,,,,,,,,,,,,,,,,,,
792,Turkey,...,...,...,...,...,...,2901.3423,3271.2018,3594.4864,4347.9039,5208.1697,5128.7184,5862.958,6021.8606,6169.8044,6912.2631,7498.5589,8241.0176,8983.4763,9224.5699,9594.4294,10093.0548,10580.7214,...,,,,,,,,,,,,,,,,,,20,,20,,20,,,,,,,,,,,,,,,,,,,,
804,Ukraine,16562.69922,15550.7002,14884.90039,14430,13860.2998,13465.7998,12753.40039,12191.7998,5783.600098,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
784,United Arab Emirates,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1363.524048,1523.736816,1659.099976,1789.300049,1948.099976,2002.880493,2015.211792,,,,,,,,,,,,,,,,,,23,23,23,23,23,23,23,,,,,,,,,,,,,,,,,,
834,United Republic of Tanzania,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,44.66,44.36,44.38,44.38,44.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
716,Zimbabwe,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,209.2366943,204.3336792,251.9747009,276.3713379,301.8183899,268.2941895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
